title,rank,director,year,url,img
THE GODFATHER,1,FRANCIS FORD COPPOLA,1972,http://mubi.com/cast/francis-ford-coppola,https://assets.mubi.com/images/film/488/image-w384.jpg?1543371300
SEVEN SAMURAI,2,AKIRA KUROSAWA,1954,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/165/image-w384.jpg?1531855498
2001: A SPACE ODYSSEY,3,STANLEY KUBRICK,1968,http://mubi.com/cast/stanley-kubrick,https://assets.mubi.com/images/film/303/image-w384.jpg?1543575616
THE GODFATHER: PART II,4,FRANCIS FORD COPPOLA,1974,http://mubi.com/cast/francis-ford-coppola,https://assets.mubi.com/images/film/1270/image-w384.jpg?1543371338
STALKER,5,ANDREI TARKOVSKY,1979,http://mubi.com/cast/andrei-tarkovsky,https://assets.mubi.com/images/film/115/image-w384.jpg?1527166442
DR. STRANGELOVE OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,6,STANLEY KUBRICK,1964,http://mubi.com/cast/stanley-kubrick,https://assets.mubi.com/images/film/315/image-w384.jpg?1543575642
APOCALYPSE NOW,7,FRANCIS FORD COPPOLA,1979,http://mubi.com/cast/francis-ford-coppola,https://assets.mubi.com/images/film/1537/image-w384.jpg?1445888370
CITIZEN KANE,8,ORSON WELLES,1941,http://mubi.com/cast/orson-welles,https://assets.mubi.com/images/film/285/image-w384.jpg?1543371302
8½,9,FEDERICO FELLINI,1963,http://mubi.com/cast/federico-fellini,https://assets.mubi.com/images/film/150/image-w384.jpg?1544810432
PERSONA,10,INGMAR BERGMAN,1966,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/299/image-w384.jpg?1560532142
PULP FICTION,11,QUENTIN TARANTINO,1994,http://mubi.com/cast/quentin-tarantino,https://assets.mubi.com/images/film/161/image-w384.jpg?1546313168
TAXI DRIVER,12,MARTIN SCORSESE,1976,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/204/image-w384.jpg?1523307946
SPIRITED AWAY,13,HAYAO MIYAZAKI,2001,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/979/image-w384.jpg?1543575612
REAR WINDOW,14,ALFRED HITCHCOCK,1954,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/162/image-w384.jpg?1543575612
VERTIGO,15,ALFRED HITCHCOCK,1958,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/339/image-w384.jpg?1543371325
THE 400 BLOWS,16,FRANÇOIS TRUFFAUT,1959,http://mubi.com/cast/francois-truffaut,https://assets.mubi.com/images/film/151/image-w384.jpg?1543575632
THE SEVENTH SEAL,17,INGMAR BERGMAN,1957,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/173/image-w384.jpg?1558111471
"THE GOOD, THE BAD AND THE UGLY",18,SERGIO LEONE,1966,http://mubi.com/cast/sergio-leone,https://assets.mubi.com/images/film/163/image-w384.jpg?1543575610
SUNSET BLVD.,19,BILLY WILDER,1950,http://mubi.com/cast/billy-wilder,https://assets.mubi.com/images/film/167/image-w384.jpg?1524865854
M,20,FRITZ LANG,1931,http://mubi.com/cast/fritz-lang,https://assets.mubi.com/images/film/558/image-w384.jpg?1553882445
THE MIRROR,21,ANDREI TARKOVSKY,1975,http://mubi.com/cast/andrei-tarkovsky,https://assets.mubi.com/images/film/397/image-w384.jpg?1543313155
TOKYO STORY,22,YASUJIRÔ OZU,1953,http://mubi.com/cast/yasujiro-ozu,https://assets.mubi.com/images/film/284/image-w384.jpg?1551811908
ANDREI RUBLEV,23,ANDREI TARKOVSKY,1966,http://mubi.com/cast/andrei-tarkovsky,https://assets.mubi.com/images/film/300/image-w384.jpg?1492998010
COME AND SEE,24,ELEM KLIMOV,1985,http://mubi.com/cast/elem-klimov,https://assets.mubi.com/images/film/406/image-w384.jpg?1559563351
A CLOCKWORK ORANGE,25,STANLEY KUBRICK,1971,http://mubi.com/cast/stanley-kubrick,https://assets.mubi.com/images/film/147/image-w384.jpg?1561248194
THE SHINING,26,STANLEY KUBRICK,1980,http://mubi.com/cast/stanley-kubrick,https://assets.mubi.com/images/film/405/image-w384.jpg?1559073725
PSYCHO,27,ALFRED HITCHCOCK,1960,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/148/image-w384.jpg?1543575622
12 ANGRY MEN,28,SIDNEY LUMET,1957,http://mubi.com/cast/sidney-lumet,https://assets.mubi.com/images/film/2325/image-w384.jpg?1543575656
BICYCLE THIEVES,29,VITTORIO DE SICA,1948,http://mubi.com/cast/vittorio-de-sica,https://assets.mubi.com/images/film/210/image-w384.jpg?1530794530
RASHÔMON,30,AKIRA KUROSAWA,1950,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/307/image-w384.jpg?1543575612
MODERN TIMES,31,CHARLIE CHAPLIN,1936,http://mubi.com/cast/charlie-chaplin,https://assets.mubi.com/images/film/2283/image-w384.jpg?1545984001
LA JETÉE,32,CHRIS MARKER,1962,http://mubi.com/cast/chris-marker,https://assets.mubi.com/images/film/329/image-w384.jpg?1552931716
CITY LIGHTS,33,CHARLIE CHAPLIN,1931,http://mubi.com/cast/charlie-chaplin,https://assets.mubi.com/images/film/894/image-w384.jpg?1543575620
THE PASSION OF JOAN OF ARC,34,CARL THEODOR DREYER,1928,http://mubi.com/cast/carl-theodor-dreyer,https://assets.mubi.com/images/film/228/image-w384.jpg?1543575649
THE GENERAL,35,BUSTER KEATON,1926,http://mubi.com/cast/buster-keaton,https://assets.mubi.com/images/film/12/image-w384.jpg?1553090423
A WOMAN UNDER THE INFLUENCE,36,JOHN CASSAVETES,1974,http://mubi.com/cast/john-cassavetes,https://assets.mubi.com/images/film/510/image-w384.jpg?1543575619
IKIRU,37,AKIRA KUROSAWA,1952,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/353/image-w384.jpg?1559516412
SUNRISE: A SONG OF TWO HUMANS,38,F.W. MURNAU,1927,http://mubi.com/cast/f-w-murnau,https://assets.mubi.com/images/film/1501/image-w384.jpg?1553737879
SANS SOLEIL,39,CHRIS MARKER,1983,http://mubi.com/cast/chris-marker,https://assets.mubi.com/images/film/304/image-w384.jpg?1551812395
A MAN ESCAPED,40,ROBERT BRESSON,1956,http://mubi.com/cast/robert-bresson,https://assets.mubi.com/images/film/2091/image-w384.jpg?1543802516
HARAKIRI,41,MASAKI KOBAYASHI,1962,http://mubi.com/cast/masaki-kobayashi,https://assets.mubi.com/images/film/743/image-w384.jpg?1543579216
SÁTÁNTANGÓ,42,BÉLA TARR,1994,http://mubi.com/cast/bela-tarr,https://assets.mubi.com/images/film/1393/image-w384.jpg?1543802516
BLADE RUNNER,43,RIDLEY SCOTT,1982,http://mubi.com/cast/ridley-scott,https://assets.mubi.com/images/film/186/image-w384.jpg?1543579214
ONE FLEW OVER THE CUCKOO'S NEST,44,MILOŠ FORMAN,1975,http://mubi.com/cast/milos-forman,https://assets.mubi.com/images/film/484/image-w384.jpg?1543579212
GOODFELLAS,45,MARTIN SCORSESE,1990,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/920/image-w384.jpg?1543579215
CHINATOWN,46,ROMAN POLANSKI,1974,http://mubi.com/cast/roman-polanski,https://assets.mubi.com/images/film/325/image-w384.jpg?1493163826
IN THE MOOD FOR LOVE,47,WONG KAR-WAI,2000,http://mubi.com/cast/wong-kar-wai,https://assets.mubi.com/images/film/198/image-w384.jpg?1550743991
METROPOLIS,48,FRITZ LANG,1927,http://mubi.com/cast/fritz-lang,https://assets.mubi.com/images/film/1507/image-w384.jpg?1553623248
MY NEIGHBOR TOTORO,49,HAYAO MIYAZAKI,1988,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/183/image-w384.jpg?1543579208
WILD STRAWBERRIES,50,INGMAR BERGMAN,1957,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/175/image-w384.jpg?1555693213
"PARIS, TEXAS",51,WIM WENDERS,1984,http://mubi.com/cast/wim-wenders,https://assets.mubi.com/images/film/1502/image-w384.jpg?1550066409
THE THIRD MAN,52,CAROL REED,1949,http://mubi.com/cast/carol-reed,https://assets.mubi.com/images/film/236/image-w384.jpg?1545811203
ONCE UPON A TIME IN THE WEST,53,SERGIO LEONE,1968,http://mubi.com/cast/sergio-leone,https://assets.mubi.com/images/film/166/image-w384.jpg?1543579211
RAN,54,AKIRA KUROSAWA,1985,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/754/image-w384.jpg?1554318002
THE GREAT DICTATOR,55,CHARLIE CHAPLIN,1940,http://mubi.com/cast/charlie-chaplin,https://assets.mubi.com/images/film/174/image-w384.jpg?1536659161
GRAVE OF THE FIREFLIES,56,ISAO TAKAHATA,1988,http://mubi.com/cast/isao-takahata,https://assets.mubi.com/images/film/179/image-w384.jpg?1543752022
YOJIMBO,57,AKIRA KUROSAWA,1961,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/597/image-w384.jpg?1546315207
MAN WITH A MOVIE CAMERA,58,DZIGA VERTOV,1929,http://mubi.com/cast/dziga-vertov,https://assets.mubi.com/images/film/296/image-w384.jpg?1548205214
THE BATTLE OF ALGIERS,59,GILLO PONTECORVO,1966,http://mubi.com/cast/gillo-pontecorvo,https://assets.mubi.com/images/film/248/image-w384.jpg?1544810432
NIGHTS OF CABIRIA,60,FEDERICO FELLINI,1957,http://mubi.com/cast/federico-fellini,https://assets.mubi.com/images/film/243/image-w384.jpg?1556857717
THE RED SHOES,61,MICHAEL POWELL,1948,http://mubi.com/cast/michael-powell,https://assets.mubi.com/images/film/233/image-w384.jpg?1557310375
FANNY AND ALEXANDER (THEATRICAL VERSION),62,INGMAR BERGMAN,1982,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/201/image-w384.jpg?1543996834
THE SACRIFICE,63,ANDREI TARKOVSKY,1986,http://mubi.com/cast/andrei-tarkovsky,https://assets.mubi.com/images/film/401/image-w384.jpg?1554260428
UGETSU,64,KENJI MIZOGUCHI,1953,http://mubi.com/cast/kenji-mizoguchi,https://assets.mubi.com/images/film/369/image-w384.jpg?1530240161
NIGHT AND FOG,65,ALAIN RESNAIS,1956,http://mubi.com/cast/alain-resnais,https://assets.mubi.com/images/film/238/image-w384.jpg?1560335129
WOMAN IN THE DUNES,66,HIROSHI TESHIGAHARA,1964,http://mubi.com/cast/hiroshi-teshigahara,https://assets.mubi.com/images/film/826/image-w384.jpg?1543802516
SHERLOCK JR.,67,BUSTER KEATON,1924,http://mubi.com/cast/buster-keaton,https://assets.mubi.com/images/film/1527/image-w384.jpg?1543838423
WERCKMEISTER HARMONIES,68,BÉLA TARR,2000,http://mubi.com/cast/bela-tarr,https://assets.mubi.com/images/film/379/image-w384.jpg?1543802515
THERE WILL BE BLOOD,69,PAUL THOMAS ANDERSON,2007,http://mubi.com/cast/paul-thomas-anderson,https://assets.mubi.com/images/film/75/image-w384.jpg?1531855116
ANNIE HALL,70,WOODY ALLEN,1977,http://mubi.com/cast/woody-allen,https://assets.mubi.com/images/film/188/image-w384.jpg?1543809028
CITY OF GOD,71,FERNANDO MEIRELLES,2002,http://mubi.com/cast/fernando-meirelles,https://assets.mubi.com/images/film/160/image-w384.jpg?1543967719
CASABLANCA,72,MICHAEL CURTIZ,1942,http://mubi.com/cast/michael-curtiz,https://assets.mubi.com/images/film/164/image-w384.jpg?1481117541
RAGING BULL,73,MARTIN SCORSESE,1980,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/486/image-w384.jpg?1543809027
PRINCESS MONONOKE,74,HAYAO MIYAZAKI,1997,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/964/image-w384.jpg?1543809027
CHUNGKING EXPRESS,75,WONG KAR-WAI,1994,http://mubi.com/cast/wong-kar-wai,https://assets.mubi.com/images/film/226/image-w384.jpg?1528473037
LA DOLCE VITA,76,FEDERICO FELLINI,1960,http://mubi.com/cast/federico-fellini,https://assets.mubi.com/images/film/255/image-w384.jpg?1544810432
WINGS OF DESIRE,77,WIM WENDERS,1987,http://mubi.com/cast/wim-wenders,https://assets.mubi.com/images/film/200/image-w384.jpg?1557302422
DOUBLE INDEMNITY,78,BILLY WILDER,1944,http://mubi.com/cast/billy-wilder,https://assets.mubi.com/images/film/172/image-w384.jpg?1543831216
TOUCH OF EVIL,79,ORSON WELLES,1958,http://mubi.com/cast/orson-welles,https://assets.mubi.com/images/film/2690/image-w384.jpg?1543831216
THE NIGHT OF THE HUNTER,80,CHARLES LAUGHTON,1955,http://mubi.com/cast/charles-laughton,https://assets.mubi.com/images/film/176/image-w384.jpg?1561258812
THE APARTMENT,81,BILLY WILDER,1960,http://mubi.com/cast/billy-wilder,https://assets.mubi.com/images/film/1694/image-w384.jpg?1543831216
PATHS OF GLORY,82,STANLEY KUBRICK,1957,http://mubi.com/cast/stanley-kubrick,https://assets.mubi.com/images/film/448/image-w384.jpg?1543831216
CRIES AND WHISPERS,83,INGMAR BERGMAN,1972,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/237/image-w384.jpg?1556013459
THE RULES OF THE GAME,84,JEAN RENOIR,1939,http://mubi.com/cast/jean-renoir,https://assets.mubi.com/images/film/295/image-w384.jpg?1550037622
A SEPARATION,85,ASGHAR FARHADI,2011,http://mubi.com/cast/asghar-farhadi,https://assets.mubi.com/images/film/38332/image-w384.jpg?1550649607
PLAYTIME,86,JACQUES TATI,1967,http://mubi.com/cast/jacques-tati,https://assets.mubi.com/images/film/651/image-w384.jpg?1545392500
THE KID,87,CHARLIE CHAPLIN,1921,http://mubi.com/cast/charlie-chaplin,https://assets.mubi.com/images/film/1442/image-w384.jpg?1543834814
GRAND ILLUSION,88,JEAN RENOIR,1937,http://mubi.com/cast/jean-renoir,https://assets.mubi.com/images/film/351/image-w384.jpg?1543885208
MESHES OF THE AFTERNOON,89,MAYA DEREN,1943,http://mubi.com/cast/maya-deren,https://assets.mubi.com/images/film/953/image-w384.jpg?1543834810
THE EXTERMINATING ANGEL,90,LUIS BUÑUEL,1962,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/1076/image-w384.jpg?1552500139
HIGH AND LOW,91,AKIRA KUROSAWA,1963,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/543/image-w384.jpg?1543834859
CLOSE-UP,92,ABBAS KIAROSTAMI,1990,http://mubi.com/cast/abbas-kiarostami,https://assets.mubi.com/images/film/1092/image-w384.jpg?1481164306
"JEANNE DIELMAN, 23, QUAI DU COMMERCE, 1080 BRUXELLES",93,CHANTAL AKERMAN,1975,http://mubi.com/cast/chantal-akerman,https://assets.mubi.com/images/film/302/image-w384.jpg?1543381236
LATE SPRING,94,YASUJIRÔ OZU,1949,http://mubi.com/cast/yasujiro-ozu,https://assets.mubi.com/images/film/298/image-w384.jpg?1545070624
ORDET,95,CARL THEODOR DREYER,1955,http://mubi.com/cast/carl-theodor-dreyer,https://assets.mubi.com/images/film/441/image-w384.jpg?1543838420
SANSHO THE BAILIFF,96,KENJI MIZOGUCHI,1954,http://mubi.com/cast/kenji-mizoguchi,https://assets.mubi.com/images/film/823/image-w384.jpg?1546946131
THE GLEANERS & I,97,AGNÈS VARDA,2000,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/1565/image-w384.jpg?1560357991
ETERNAL SUNSHINE OF THE SPOTLESS MIND,98,MICHEL GONDRY,2004,http://mubi.com/cast/michel-gondry,https://assets.mubi.com/images/film/92/image-w384.jpg?1531611180
THE BIG LEBOWSKI,99,JOEL COEN,1998,http://mubi.com/cast/joel-coen,https://assets.mubi.com/images/film/320/image-w384.jpg?1560610809
FARGO,100,JOEL COEN,1996,http://mubi.com/cast/joel-coen,https://assets.mubi.com/images/film/170/image-w384.jpg?1491443345
MULHOLLAND DRIVE,101,DAVID LYNCH,2001,http://mubi.com/cast/david-lynch,https://assets.mubi.com/images/film/187/image-w384.jpg?1552467202
FULL METAL JACKET,102,STANLEY KUBRICK,1987,http://mubi.com/cast/stanley-kubrick,https://assets.mubi.com/images/film/202/image-w384.jpg?1543838421
OLDBOY,103,PARK CHAN-WOOK,2003,http://mubi.com/cast/park-chan-wook,https://assets.mubi.com/images/film/114/image-w384.jpg?1544310039
ALIEN,104,RIDLEY SCOTT,1979,http://mubi.com/cast/ridley-scott,https://assets.mubi.com/images/film/506/image-w384.jpg?1543838422
BREATHLESS,105,JEAN-LUC GODARD,1960,http://mubi.com/cast/jean-luc-godard,https://assets.mubi.com/images/film/268/image-w384.jpg?1543250935
NORTH BY NORTHWEST,106,ALFRED HITCHCOCK,1959,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/1503/image-w384.jpg?1543838420
SOLARIS,107,ANDREI TARKOVSKY,1971,http://mubi.com/cast/andrei-tarkovsky,https://assets.mubi.com/images/film/553/image-w384.jpg?1458352899
THREE COLORS: BLUE,108,KRZYSZTOF KIEŚLOWSKI,1993,http://mubi.com/cast/krzysztof-kieslowski,https://assets.mubi.com/images/film/414/image-w384.jpg?1543967741
STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,109,IRVIN KERSHNER,1980,http://mubi.com/cast/irvin-kershner,https://assets.mubi.com/images/film/22845/image-w384.jpg?1543863611
"AGUIRRE, THE WRATH OF GOD",110,WERNER HERZOG,1972,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/301/image-w384.jpg?1537211008
THREE COLORS: RED,111,KRZYSZTOF KIEŚLOWSKI,1994,http://mubi.com/cast/krzysztof-kieslowski,https://assets.mubi.com/images/film/412/image-w384.jpg?1536900545
THE CONVERSATION,112,FRANCIS FORD COPPOLA,1974,http://mubi.com/cast/francis-ford-coppola,https://assets.mubi.com/images/film/1946/image-w384.jpg?1543863613
HIROSHIMA MON AMOUR,113,ALAIN RESNAIS,1959,http://mubi.com/cast/alain-resnais,https://assets.mubi.com/images/film/217/image-w384.jpg?1551812427
DAYS OF HEAVEN,114,TERRENCE MALICK,1978,http://mubi.com/cast/terrence-malick,https://assets.mubi.com/images/film/213/image-w384.jpg?1543863608
NETWORK,115,SIDNEY LUMET,1976,http://mubi.com/cast/sidney-lumet,https://assets.mubi.com/images/film/256/image-w384.jpg?1546117241
L'AVVENTURA,116,MICHELANGELO ANTONIONI,1960,http://mubi.com/cast/michelangelo-antonioni,https://assets.mubi.com/images/film/209/image-w384.jpg?1559843185
LA STRADA,117,FEDERICO FELLINI,1954,http://mubi.com/cast/federico-fellini,https://assets.mubi.com/images/film/185/image-w384.jpg?1543863611
THE DOUBLE LIFE OF VÉRONIQUE,118,KRZYSZTOF KIEŚLOWSKI,1991,http://mubi.com/cast/krzysztof-kieslowski,https://assets.mubi.com/images/film/214/image-w384.jpg?1555916403
LE SAMOURAÏ,119,JEAN-PIERRE MELVILLE,1967,http://mubi.com/cast/jean-pierre-melville,https://assets.mubi.com/images/film/184/image-w384.jpg?1543863638
VIVRE SA VIE,120,JEAN-LUC GODARD,1962,http://mubi.com/cast/jean-luc-godard,https://assets.mubi.com/images/film/3060/image-w384.jpg?1543863609
CLÉO FROM 5 TO 7,121,AGNÈS VARDA,1962,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/244/image-w384.jpg?1552896054
LAST YEAR AT MARIENBAD,122,ALAIN RESNAIS,1961,http://mubi.com/cast/alain-resnais,https://assets.mubi.com/images/film/1517/image-w384.jpg?1543863648
ALL ABOUT EVE,123,JOSEPH L. MANKIEWICZ,1950,http://mubi.com/cast/joseph-l-mankiewicz,https://assets.mubi.com/images/film/2092/image-w384.jpg?1543863608
THE GOLD RUSH,124,CHARLIE CHAPLIN,1925,http://mubi.com/cast/charlie-chaplin,https://assets.mubi.com/images/film/1103/image-w384.jpg?1543863609
AU HASARD BALTHAZAR,125,ROBERT BRESSON,1966,http://mubi.com/cast/robert-bresson,https://assets.mubi.com/images/film/455/image-w384.jpg?1543885212
THRONE OF BLOOD,126,AKIRA KUROSAWA,1957,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/735/image-w384.jpg?1543885211
L'ECLISSE,127,MICHELANGELO ANTONIONI,1962,http://mubi.com/cast/michelangelo-antonioni,https://assets.mubi.com/images/film/928/image-w384.jpg?1552248139
THROUGH A GLASS DARKLY,128,INGMAR BERGMAN,1961,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/568/image-w384.jpg?1559289616
ALI: FEAR EATS THE SOUL,129,RAINER WERNER FASSBINDER,1973,http://mubi.com/cast/rainer-werner-fassbinder,https://assets.mubi.com/images/film/152/image-w384.jpg?1543885211
THE SPIRIT OF THE BEEHIVE,130,VÍCTOR ERICE,1973,http://mubi.com/cast/victor-erice,https://assets.mubi.com/images/film/367/image-w384.jpg?1543885208
